model,target,f1_c (median),f1_cw (median),precision_c (median),precision_cw (median),recall_c (median),recall_cw (median),auc_c (median),auc_cw (median),f1_c (mean),f1_cw (mean),precision_c (mean),precision_cw (mean),recall_c (mean),recall_cw (mean),auc_c (mean),auc_cw (mean)
SVC,ABU50,0.6309012875536482,0.6309012875536482,0.6049382716049383,0.6049382716049383,0.6591928251121076,0.6591928251121076,0.6127470355731226,0.6127470355731226,0.6309012875536482,0.6309012875536482,0.6049382716049383,0.6049382716049383,0.6591928251121076,0.6591928251121076,0.6127470355731226,0.6127470355731226
SVC,BD50,0.3473982451864489,0.34437508866505884,0.23024231865695277,0.22967026687239264,0.7325581395348837,0.7209302325581395,0.5736904761904762,0.572202380952381,0.3474582329845022,0.34632515131841884,0.23437763384810875,0.23278626125574517,0.6976744186046512,0.6976744186046512,0.5721974206349206,0.5699107142857143
SVC,PBU,0.6462948485400952,0.6472689115469952,0.7074240986717268,0.700063211125158,0.587378640776699,0.5889967637540453,0.5163963724447596,0.5078326243648824,0.6413439187349923,0.6382735557846047,0.715778803777325,0.7092378312435128,0.5817152103559871,0.5817152103559871,0.5273016365355074,0.5190569242585371
knn_classifier,ABU50,0.5759637188208617,0.5831435079726651,0.6036036036036037,0.5991189427312775,0.5650224215246636,0.5739910313901345,0.6010869565217393,0.5989130434782609,0.5868641776319192,0.5918191694857088,0.6111289087069147,0.6099008955634506,0.5659192825112107,0.5757847533632287,0.5994466403162055,0.6008893280632411
knn_classifier,BD50,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921
knn_classifier,PBU,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032
logistic_regression,ABU50,0.6258205689277899,0.6247288503253796,0.6092436974789915,0.603448275862069,0.6412556053811659,0.6412556053811659,0.6145256916996047,0.6101778656126482,0.5972333568128201,0.5984198269680588,0.6057686383869975,0.5997397106650268,0.5924265072247135,0.6003986048829097,0.6022617479139218,0.5986056214317084
logistic_regression,BD50,0.32829965208379597,0.31463454875433094,0.22107712765957444,0.21428303690237455,0.6918604651162791,0.5872093023255814,0.5487996031746032,0.5310912698412698,0.32880309360729393,0.31415049363338265,0.21506529049139406,0.20894397433678968,0.7209302325581395,0.6598837209302326,0.538516865079365,0.5233382936507935
logistic_regression,PBU,0.6569064695207292,0.6484517304189436,0.7557883913058894,0.7416666666666667,0.580906148867314,0.5760517799352751,0.5759831029185867,0.5581791326952616,0.6334585683714526,0.6283669077981263,0.7457198259050455,0.7379303245656456,0.5517799352750808,0.5485436893203883,0.562607674583481,0.5521483221079995
randomForest_classifier,ABU50,0.5639810426540285,0.5668202764976958,0.5893719806763285,0.5879629629629629,0.5336322869955157,0.5515695067264574,0.5809288537549407,0.5789525691699604,0.562572306090295,0.5689279519386873,0.5884356419904733,0.5898235750591775,0.5391131041355257,0.5495764823119083,0.5789306104523495,0.5817852437417654
randomForest_classifier,BD50,0.3717472118959108,0.3703703703703704,0.2682926829268293,0.2651162790697674,0.6162790697674418,0.627906976744186,0.6057539682539682,0.600734126984127,0.37616773875299797,0.3670735162300392,0.27125079086750453,0.2612580606287323,0.6152219873150107,0.6194503171247357,0.6081673881673881,0.5987175324675325
randomForest_classifier,PBU,0.6546762589928058,0.6666687294239957,0.736842105263158,0.7359359917953667,0.5889967637540453,0.6116504854368932,0.5537285832447123,0.5544419827484343,0.6549512380155286,0.661273143133487,0.7371653212165624,0.7377928224020313,0.5895361380798274,0.5997842502696872,0.5531730276891567,0.5547648587971168
mlp_classifier,ABU50,0.5446623093681917,0.5175202156334233,0.5833333333333334,0.5707964601769911,0.5605381165919282,0.4573991031390134,0.5295454545454545,0.5693675889328064,0.3971309135853501,0.5282946946035644,0.571311105806212,0.5844921741460684,0.3886397608370702,0.48878923766816146,0.5432476943346508,0.5645256916996048
mlp_classifier,BD50,0.3,0.3333333333333333,0.2142857142857142,0.224,0.5232558139534884,0.6046511627906976,0.530892857142857,0.552579365079365,0.27980238302818944,0.33105086510659265,0.2329198788348622,0.22716817359855332,0.42635658914728686,0.6124031007751939,0.5316931216931217,0.5539814814814813
mlp_classifier,PBU,0.5413223140495868,0.6148148148148147,0.684931506849315,0.7186147186147186,0.4239482200647249,0.5372168284789643,0.4938095238095238,0.5292030012997755,0.5495486371682543,0.5892721210701786,0.7041442337690104,0.7149173762730587,0.46817691477885653,0.5048543689320388,0.504252432155658,0.5247418173224625
